"Error Monitor","Error Monitor"
"Error Log","Error Log"
"Configuration","Configuration"
"View Errors","View Errors"
"Manage Errors (resolve / ignore / delete)","Manage Errors (resolve / ignore / delete)"
"General","General"
"Enable Error Monitor","Enable Error Monitor"
"PHP Error Capture","PHP Error Capture"
"Capture PHP Exceptions","Capture PHP Exceptions"
"Minimum Severity to Capture","Minimum Severity to Capture"
"JavaScript Error Capture (Storefront)","JavaScript Error Capture (Storefront)"
"Capture Storefront JS Errors","Capture Storefront JS Errors"
"Sample Rate (%)","Sample Rate (%)"
"Max Reports per IP per Minute","Max Reports per IP per Minute"
"Max Report Body Size (KB)","Max Report Body Size (KB)"
"Ignore Messages Containing","Ignore Messages Containing"
"Email Alerts","Email Alerts"
"Send Email Alerts","Send Email Alerts"
"Delivery Mode","Delivery Mode"
"Recipient Email(s)","Recipient Email(s)"
"Email Sender Identity","Email Sender Identity"
"Minimum Severity to Email","Minimum Severity to Email"
"Max Error Groups per Run","Max Error Groups per Run"
"Privacy","Privacy"
"Store Client IP","Store Client IP"
"Anonymise IP","Anonymise IP"
"Data Retention","Data Retention"
"Keep Individual Events (days)","Keep Individual Events (days)"
"Keep Resolved Groups (days)","Keep Resolved Groups (days)"
"ID","ID"
"Source","Source"
"Severity","Severity"
"Type","Type"
"Message","Message"
"Occurrences","Occurrences"
"First Seen","First Seen"
"Last Seen","Last Seen"
"Status","Status"
"New","New"
"Resolved","Resolved"
"Ignored","Ignored"
"PHP","PHP"
"JavaScript","JavaScript"
"View","View"
"Resolve","Resolve"
"Ignore","Ignore"
"Delete","Delete"
"Notice","Notice"
"Warning","Warning"
"Error","Error"
"Critical","Critical"
"Alert","Alert"
"Emergency","Emergency"
"Digest (one email per run)","Digest (one email per run)"
"Individual (one email per error)","Individual (one email per error)"
"Error marked as resolved.","Error marked as resolved."
"Error ignored. Future occurrences are still counted but won't be emailed.","Error ignored. Future occurrences are still counted but won't be emailed."
"Error deleted.","Error deleted."
"This error no longer exists.","This error no longer exists."
"No error specified.","No error specified."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Back to Error Log","Back to Error Log"
"Mark Resolved","Mark Resolved"
"Recent Occurrences (latest %1)","Recent Occurrences (latest %1)"
"Error #%1","Error #%1"
